Year,Legislative,Judiciary,Essential to Justice,Administration,National Defense,Public Safety,Foreign Relations,Social Assistance,Security,Health,Labor,Education,Culture,Citizenship Rights,Urbanism,Housing,Sanitation,Environmental Management,Science and Technology,Agriculture,Agrarian Organization,Industry,Services and Commerce,Communications,Energy,Transportation,Sports and Leisure,Special Charges,Refinancing,GDP growth,Inflation,Gini index
2000,-2.049251818906184,-1.4635929427149093,-1.6649276531555992,-1.4865952568628196,-1.0718093845742453,-1.38010826948144,-1.5343806745373951,-0.7897148816589122,-1.2954099955327305,-1.2458967504700864,-1.2982376032005825,-1.1974835960832422,-1.082194364167608,-1.2346694123329596,-2.0913605913461977,3.567452208514911,-0.83148437929783,-1.3335130561407402,-1.5223491639851672,-1.3225103767929247,-1.2158505841827034,-2.0993382237308644,-0.17444237821990616,-0.8479379859169895,-0.5407959498009259,-1.5358284810537486,-0.8932423004808223,-1.4480044102094225,-0.6930246742878864,0.7295589439744146,-0.8762567137464611,1.916836577702909
2001,-1.8177405464271457,-1.4388532237668776,-1.5779689073350343,-1.3772264440160387,-1.0236197216622258,-1.23545571060844,-1.3434664861303764,-0.7805788028106154,-1.2419807890274004,-1.1699044204033837,-1.2573590539125477,-1.168628529208759,-0.9840683209174241,-0.6958373282231305,-1.4899613287632438,0.379109735733439,-0.5452502511264901,-0.5013146448547088,-1.3827034257535253,-1.2390819756604323,-0.9246118952292148,-1.8309815957481426,0.6343636453169,-0.7685873777248924,-0.4109397583861431,-1.3259284895922574,-0.2746446770053615,-1.3177671128297554,-0.9198094339051314,-0.3325285307608697,0.3067432080459878,1.7903359052972156
2002,-1.5780762767118544,-1.2853348071354005,-1.4890579459420763,-1.2220490959069739,-0.995833489910634,-1.3752871343980937,-0.9106556014299653,-0.7676224166665411,-1.182741991337579,-1.1292218206044538,-1.2218892456038906,-1.1238214026959314,-1.078976541773571,-1.220572562616005,-1.4996104988353887,-0.2075688340426056,-1.0845366797339235,-1.195716734339504,-1.4169525199806638,-1.235145385985931,-0.8622252170476402,-1.9341062722645674,-0.20356845230803702,-0.6024156062359433,4.1413003522225145,-0.9574999925953489,-0.44003450222901336,-1.2394731620678494,-0.875567537430426,0.2568046161466148,1.0172660559363758,1.6638352328915254
2003,-1.1835438141686836,-1.2672972490523928,-1.3382837405390793,-1.361657779495609,-1.0359365766518909,-1.3047603731743185,-1.0871217041057006,-0.7473253484052141,-1.0986130127944833,-1.089975436264934,-1.1870895497629086,-1.0955161834252498,-1.0991177602412021,-1.2715443130429727,-1.7867587834903433,-0.22010366447203528,-1.2367332728351135,-1.5428321347942515,-1.2211393461783508,-1.0250886522104605,-0.8020115316663434,-1.8961225690018508,0.004249977288430574,-0.48918755890074933,1.6294384206659,-1.6110429076946178,-0.9629010220759332,-1.1378527423274232,-0.46283325667572894,-0.42076291643637265,2.95634767709298,1.4530007788820396
2004,-0.8810783117396541,-1.0407688251149831,-0.9665990626702818,-1.1079743105460718,-0.9591641063766552,-1.178536870583221,-0.9282201553593421,-0.6892353754491493,-1.0229030616193366,-0.958920492221353,-1.1456232424554982,-1.0867928378957792,-0.8712915654639134,-0.7991067990014123,-0.08850322824316399,0.716541283450604,-1.1660298459418963,-1.2739088465335198,-0.9740477199934727,-0.7889684315026569,0.6606857708229968,0.03448816617604464,0.02000044731306786,-0.7078372237712154,-0.6229471776811869,-1.422737771295585,-0.4064034053955426,-1.114733102527783,-0.5151758552056213,1.2156077646761765,0.09307676005109165,0.9891649800611702
2005,-0.7029019306446641,-1.0257794243251468,-0.8677667756119058,-1.0839827074462345,-0.8882969786261081,-1.0914740020068783,-0.6950027662446908,-0.6685160824158642,-0.9359900220491528,-0.8796152257153622,-1.0768435024935659,-1.04002541427511,-0.4524985490577865,0.044299039163997835,1.7473507304198301,0.9219796693900166,-1.1196683816601767,-0.39984580525912256,-0.705423145487409,-0.6443974109225207,1.8494099182530266,-0.05909075739305906,0.6884469036202724,-0.7307832436383805,-0.574874240527434,-0.4643174975093811,0.3500277542435302,-1.0529301402162157,-0.1355841172341096,0.3094723832560785,-0.051842959968884425,0.9048311984573746
2006,-0.45006853516841777,-0.804042862736019,-0.7139282168888367,-0.930306686217439,-0.8417814167228792,-0.9412961675998722,-0.8945958108808976,-0.6072468517896545,-0.8453400129736358,-0.8061255971819612,-0.9502282410821241,-1.0075650522649366,-0.31003454258611957,0.4251605404794366,1.7599757938048577,2.445125901191275,-1.2466466771042317,-0.9406411055746451,-0.5327513058913766,-0.30905259777704985,2.595611458894491,0.8526211087347361,0.6411049410763716,-0.7670990930407418,-0.602695077383831,-0.4067551124062425,1.9103887212058603,-0.5941725566649548,-0.48038046514853083,0.5786584910264272,-0.34858365829513843,0.6096629628440963
2007,-0.5745285435202541,-0.7765144752564597,-0.5751992379864717,-0.7992163669001149,-0.8177027273657801,-0.7173467534721248,-0.8363325429639088,-0.5742131336839111,-0.7670382376434155,-0.8129573881966833,-0.849634610036974,-0.9636646275362927,-0.6491641260273081,-0.5630090297976348,-0.7783204582238338,-0.5310212490243545,-1.3119788098607315,-1.1852342400183145,-0.7323769559484979,-0.7533711653600882,1.728639284692384,2.0057202606112225,-0.45706642841452305,-0.7523673389974166,-0.6158731373205782,-0.7800026368429093,2.0020214428128376,-0.6877906615052742,-0.4861249146876194,1.325394764457715,-0.5000077824441818,0.31449472723081495
2008,-0.41581331464231597,-0.5156390671485809,-0.2295942353051585,-0.6815363809908588,-0.7163691545333031,-0.4274225629755183,-0.37562867769416686,-0.5314860397178413,-0.6768909132909836,-0.7180812905286489,-0.765431845959188,-0.8778925704699463,-0.40546781065289783,0.36403845602030876,-0.3124881293313158,-0.14217387185994457,0.42295230664995637,-1.0770248218508114,-0.43319633292883997,-0.7846209831731128,0.44013158173570816,0.9416018848439526,-0.6388604429073655,-0.8922957301086583,-0.6013986095765457,-1.0709722209675492,-0.7549626350899222,-0.4241782666737269,-0.758050734182464,0.9797529926203732,0.5567370804615919,-0.06500728998625893
2009,-0.4341798853153589,-0.40042503165083076,-0.03755038015871994,-0.3977188486978522,-0.6006331912722908,-0.1025511655173693,-0.797484333670673,-0.484000772783895,-0.5539115124408525,-0.6040115577816981,-0.539057378007905,-0.6936583276988406,-0.0510777392111037,0.8674382845449476,0.7448703474644359,-0.18567312628524002,1.8750040985264118,-0.8919430264447064,-0.08273018440766808,-0.0970463781413462,0.43416983876189635,-0.4809988547154174,-0.576064392910523,-0.9059851322747566,-0.4904676350080633,0.0054245586513399025,-1.0090010060328958,-0.1650148978817457,-0.7920160130317723,-0.8694819753243683,-0.10502632487429606,-0.19150796239194923
2010,-0.14662817503007708,-0.22477940308485486,0.15963944385178308,0.021731077068220608,-0.4179719574252581,0.396919353180963,-0.45854077154211387,-0.4235569726939967,-0.4195386946653581,-0.47164629653120466,-0.4557055475343667,-0.415617459493911,0.3834618400441292,1.6947201316423053,1.224429902966411,-0.47750551429954874,0.5733935539831251,-0.45582049318891676,0.12551797819649035,-0.5347730235540413,0.1742642976740501,-0.20204940954532427,-0.5158164146917273,-0.7063836401374144,-0.5641261723582708,1.130617537610769,-0.49740247267211374,-0.4802841563456236,-0.489932151940465,1.8420303208297435,0.39628885209447606,-0.36017552559954025
2011,0.046780070269654916,-0.21039525918234867,0.23665063040684248,-0.06223244897538568,-0.4237315378794889,-0.1428550609578763,-0.4272871701503537,-0.35607703225802334,-0.2933908689927043,-0.28910498128526363,-0.28845447645324584,-0.27094198039634404,-0.2043044681012397,0.5664303232379279,-0.06276607601281074,-0.3795476980988942,-0.401799133015577,-0.20606594482327137,0.03571343677792858,-0.451547347204844,-0.035001481650718966,-0.03888750520390437,-0.7455858218693301,-0.5035186629036696,-0.5559105747636038,0.7624832386602584,-0.21972338871918537,-0.4895699098765943,-0.19300498407096503,0.5830634787096943,0.34897565292805555,-0.5288430888071284
2012,0.1563744058565792,-0.04731357856590833,-0.437947221286496,0.0779235928882436,-0.3552896802750338,-0.056938911755775604,-0.10579645467603156,-0.2471085129295573,-0.14176012283865647,-0.1154023208721778,-0.09757428267879617,-0.018107062594116777,0.35432969107204637,-0.7932946046057785,-0.2453857091845438,-0.19021251932857938,1.4619925803114764,0.2582537084610392,0.38176677096427014,-0.3333836018088461,-0.26422880757055695,0.4078178993579289,-0.6476190236006003,-0.3836180708126383,-0.47595507697829653,1.1623570072779839,0.10141716056671378,0.2698416903947453,-0.6985523288324258,-0.1443179207895172,0.17938021764132178,-0.3180086347976425
2013,0.3486991707981831,0.06042982900358891,-0.183196526397,0.26183937375921873,-0.2851436872885191,0.11310493403128564,-0.08032400883878223,-0.17288933744083387,0.028133890622587067,0.008941485602166423,0.6859085015263725,0.2768306814866749,0.3951699368406582,-0.57585755080946,-0.3232355344338599,-0.5026836959138499,1.0218893610684427,1.1399372593216934,1.3311169245020198,-0.3459290330492845,0.6767404938824108,0.42812191883019696,-0.6687923776886063,0.11028498831936379,-0.4127541607790779,0.8230814669840182,0.213965676546782,-0.3369596968403866,-0.2499977967714217,0.239573742207419,-0.018715816854753063,-0.6131768704109208
2014,0.42963723621898336,0.31443600346899375,0.06311391241104558,0.2818112417035271,-0.15960847689546526,0.12864931103634014,0.08262985041363782,-0.10840942685825548,0.21530967959846545,0.21941447957348106,0.8632872757966125,0.5673065721753616,0.44518749118353707,-0.3826161063402839,0.4980603834108756,-0.512976400137095,0.4426523410279722,1.379584434192952,0.4382499770522301,-0.32977218195318186,0.5288517262855869,0.7485461283830271,-0.6186785173422938,0.28762664886063677,-0.3098666532472835,1.7726602492833397,2.471734426718471,0.08240193821530332,0.19222792398344743,-0.6463810425440487,0.13582914217377892,-0.9083451060242022
2015,0.6855375000446186,0.5272580087947287,0.4098700047171378,0.41493601574912026,-0.11247642045757499,0.28771135835978207,0.8469526161559459,-0.0830397255905054,0.3913669592505734,0.39527026340560667,0.716172467117703,0.7633874694033113,0.3615136772853074,-0.45544842235651745,-0.2054542743730885,-0.5258944873819824,-0.4386598384342483,0.602432550074947,0.49152920356775487,1.2996195397750414,-0.5607289098646239,0.5019006534769035,-0.839863014655845,0.2692422846232749,0.07993806666979275,0.9628989866854089,1.5479796141648436,0.30945782209312966,0.06633051894421735,-2.0810307637386916,0.009113270560973694,-0.9505119968261
2016,0.8454443473218137,0.7381022156175336,0.5796812001431201,0.7313108388436499,0.7054309108730238,0.4866340486619413,0.5160805139967659,-0.0029068255092302812,0.5962815848891619,0.5276195773344942,0.884432825403475,0.9033165414191816,0.5123490471310708,2.992705418500113,0.5297947709208016,-0.5080008764831284,0.15310292368269013,1.010383328234441,0.3544231545878422,1.5509766059338237,0.18746939346314345,0.6568616979769254,0.28011365278892686,0.3604771049024036,0.1567971170558511,0.5630680291182092,0.6241748931716812,0.634580306640837,0.29593824597194546,-1.985435199804674,0.25186691370172953,-0.3180086347976425
2017,0.877859539983099,0.9284812210475347,0.8695048454908714,1.1220468862604986,0.9411444138574525,0.6760439097427877,0.6276174938085415,0.059804636630874916,0.8252688589657505,0.5874855905038561,0.8797209012396516,1.007382058710873,0.6686888185281938,1.6059747776803983,1.1706116992346778,-0.5161259044239899,1.358954168963903,0.6034181347459333,0.3532355328426836,0.6426350208803544,-0.4248538041891673,0.7743715572383858,0.02391353261096799,0.09731323838142321,0.21467509186376493,0.7784191204754152,-0.2122101786183744,0.7238115461235602,-0.23990884307460927,-0.3562735761340631,-1.7501404600112933,-0.36017552559954025
2018,0.983192792075464,1.1020824166112646,0.9226776199623193,1.640225002665529,1.2439880625355269,0.7174605080099606,0.8903608719760274,0.10116622260025601,0.9278870679531033,0.7306315049228542,0.9126114247841017,1.0722955929186837,0.694464641299481,0.350609846104008,0.8214838740665491,-0.517517027943281,0.7417106811905301,1.218978238186035,0.4699147802429916,0.7814555286516912,-0.6273444023344623,0.6767095169977737,0.5140218403299434,0.18543300176430502,0.24799643951587685,0.9804402356133564,-0.32937638872958236,1.1468193099008535,-0.2747586366040263,-0.1930318102188625,-1.378780271126029,-0.10717418078815669
